robustness,robustness_label,outcome_label,term_label,estimate_se,coefficient,standard_error,p_value,q_value_bh,ci_low,ci_high,occupation_clusters
no_jobzone_complementarity,Complementarity excluding Job Zones,Real annual wage income,Complementarity × 2023,-0.0029 (0.0031),-0.0029361133825481,0.003133616040257,0.3492275590703583,0.6984551181407167,-0.0090928811533197,0.0032206543882233,498
no_jobzone_complementarity,Complementarity excluding Job Zones,Real annual wage income,Complementarity × 2024,-0.0017 (0.0042),-0.0016653478748328,0.0042335696358112,0.6942169011875986,0.8330602814251182,-0.0099832479475364,0.0066525521978708,498
no_jobzone_complementarity,Complementarity excluding Job Zones,Real annual wage income,Exposure × Complementarity × 2023,-0.0022 (0.0034),-0.0022142006446241,0.0034071649820474,0.5160790379564204,0.7741185569346306,-0.0089084233195408,0.0044800220302925,498
no_jobzone_complementarity,Complementarity excluding Job Zones,Real annual wage income,Exposure × Complementarity × 2024,-0.0050 (0.0040),-0.0050220806313593,0.0039861334632251,0.2083011425095809,0.6984551181407167,-0.0128538308270105,0.0028096695642917,498
no_jobzone_complementarity,Complementarity excluding Job Zones,Occupational employment,Exposure × 2023,-0.0089 (0.0123),-0.0088592191756381,0.0122905597446025,0.4713622808970526,0.5910928752905581,-0.0330070793946917,0.0152886410434153,498
no_jobzone_complementarity,Complementarity excluding Job Zones,Occupational employment,Exposure × 2024,-0.0213 (0.0144),-0.0212660707079301,0.0144162420721931,0.140806324804361,0.5153663039679732,-0.0495903623331539,0.0070582209172936,498
no_jobzone_complementarity,Complementarity excluding Job Zones,Occupational employment,Complementarity × 2023,-0.0049 (0.0076),-0.0049070980079566,0.007598249904382,0.5186943142359431,0.5910928752905581,-0.019835748973673,0.0100215529577597,498
no_jobzone_complementarity,Complementarity excluding Job Zones,Occupational employment,Complementarity × 2024,-0.0054 (0.0101),-0.0054203851395073,0.0100825349939894,0.5910928752905581,0.5910928752905581,-0.0252300317909136,0.0143892615118988,498
no_jobzone_complementarity,Complementarity excluding Job Zones,Occupational employment,Exposure × Complementarity × 2023,-0.0099 (0.0087),-0.0098532677091181,0.008695202076022,0.2576831519839866,0.5153663039679732,-0.0269371539332923,0.007230618515056,498
no_jobzone_complementarity,Complementarity excluding Job Zones,Occupational employment,Exposure × Complementarity × 2024,-0.0122 (0.0106),-0.0122162843854134,0.0105708750692009,0.2483775706727166,0.5153663039679732,-0.0329853965225757,0.0085528277517489,498
oews_weighted_mapping,OEWS-employment-weighted mapping,Real annual wage income,Exposure × 2023,0.0039 (0.0056),0.0038700195245049,0.0055798523068701,0.4882764239665845,0.9594612374805426,-0.0070930415146573,0.0148330805636672,497
oews_weighted_mapping,OEWS-employment-weighted mapping,Real annual wage income,Exposure × 2024,-0.0032 (0.0068),-0.0031564820284383,0.0068097888502498,0.6431940987908092,0.9594612374805426,-0.0165360710790618,0.0102231070221851,497
oews_weighted_mapping,OEWS-employment-weighted mapping,Real annual wage income,Complementarity × 2023,-0.0030 (0.0032),-0.0029921533065037,0.0032312963005005,0.3549006550049935,0.9594612374805426,-0.0093408694785054,0.0033565628654979,497
oews_weighted_mapping,OEWS-employment-weighted mapping,Real annual wage income,Complementarity × 2024,-0.0002 (0.0042),-0.0002137330783124,0.0042027627223311,0.9594612374805426,0.9594612374805426,-0.0084711459494923,0.0080436797928674,497
oews_weighted_mapping,OEWS-employment-weighted mapping,Real annual wage income,Exposure × Complementarity × 2023,-0.0003 (0.0033),-0.0003052480835484,0.0033491675873769,0.9274169705538864,0.9594612374805426,-0.0068855528427962,0.0062750566756993,497
oews_weighted_mapping,OEWS-employment-weighted mapping,Real annual wage income,Exposure × Complementarity × 2024,-0.0018 (0.0042),-0.0017940489114461,0.0041718094374417,0.667352624363512,0.9594612374805426,-0.0099906460597463,0.0064025482368539,497
oews_weighted_mapping,OEWS-employment-weighted mapping,Occupational employment,Exposure × 2023,-0.0088 (0.0114),-0.0087799503344737,0.0113946401104932,0.4413504321972532,0.5296205186367038,-0.0311676638760702,0.0136077632071226,497
oews_weighted_mapping,OEWS-employment-weighted mapping,Occupational employment,Exposure × 2024,-0.0199 (0.0142),-0.0198569532171618,0.0142464231143962,0.1639960305433944,0.4817411415263281,-0.0478477310376713,0.0081338246033476,497
oews_weighted_mapping,OEWS-employment-weighted mapping,Occupational employment,Complementarity × 2023,-0.0064 (0.0081),-0.0064216263549246,0.0080545729581223,0.4256788258311789,0.5296205186367038,-0.0222469152923324,0.009403662582483,497
oews_weighted_mapping,OEWS-employment-weighted mapping,Occupational employment,Complementarity × 2024,0.0014 (0.0100),0.0014215882872277,0.010005617775774,0.8870752877224872,0.8870752877224872,-0.018237032116628,0.0210802086910834,497
oews_weighted_mapping,OEWS-employment-weighted mapping,Occupational employment,Exposure × Complementarity × 2023,-0.0140* (0.0084),-0.0140110838320305,0.0084415632488269,0.0975920708905538,0.4817411415263281,-0.0305967151486324,0.0025745474845713,497
oews_weighted_mapping,OEWS-employment-weighted mapping,Occupational employment,Exposure × Complementarity × 2024,-0.0111 (0.0094),-0.0110690819117221,0.0094267567589813,0.240870570763164,0.4817411415263281,-0.0295903803379912,0.007452216514547,497
